==PROF== Connected to process 382199 (/work/07044/rl33579/ls6/uvm_pin_async/workloads/micro/uvm_prefetch_async/gemm/gemm)
==PROF== Disconnected from process 382199
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","555,094,031,872"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","57,202,174,790.09"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","1,257,229,568"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum.per_second","byte/second","129,556,906.35"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","dram__sectors_read.sum","sector","17,346,688,496"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","dram__sectors_write.sum","sector","39,288,424"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_atom.sum","sector","0"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","43,100,812,884"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read_lookup_miss.sum","sector","26,094,394,850"
"0","382199","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(512, 512, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_red.sum","sector","0"
