==PROF== Connected to process 382167 (/work/07044/rl33579/ls6/uvm_pin_async/workloads/micro/uvm_prefetch_async/gemm/gemm)
==PROF== Disconnected from process 382167
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","69,853,786,112"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","57,521,309,408.84"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","byte","292,607,744"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum.per_second","byte/second","240,948,723.25"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","dram__sectors_read.sum","sector","2,182,930,816"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","dram__sectors_write.sum","sector","9,143,992"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_atom.sum","sector","0"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","5,389,150,454"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read_lookup_miss.sum","sector","3,287,836,669"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_red.sum","sector","0"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","13,389,225"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_write_lookup_miss.sum","sector","2,261"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","pcie__read_bytes.sum","byte","23,040"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","pcie__write_bytes.sum","byte","637,440"
"0","382167","gemm","127.0.0.1","gemm_kernel(float *, float *, float *, unsigned long, unsigned long, unsigned long)","1","16","(32, 32, 1)","(256, 256, 1)","0","9.0","Command line profiler metrics","sm__inst_executed.sum","inst","158,515,331,072"
